%    ___                              _ _    _     
%   / __|___ _ __  _ __ _ _ ___ _____(_) |__| |___ 
%  | (__/ _ \ '  \| '_ \ '_/ -_|_-<_-< | '_ \ / -_)
%   \___\___/_|_|_| .__/_| \___/__/__/_|_.__/_\___|
%                 |_|                              
%   _            _         _         _        _                       _ 
%  | |_ _  _ _ _| |__ _  _| |___ _ _| |_   __| |_  __ _ _ _  _ _  ___| |
%  |  _| || | '_| '_ \ || | / -_) ' \  _| / _| ' \/ _` | ' \| ' \/ -_) |
%   \__|\_,_|_| |_.__/\_,_|_\___|_||_\__| \__|_||_\__,_|_||_|_||_\___|_|
%                                                                       
%      _      _        
%   __| |__ _| |_ __ _ 
%  / _` / _` |  _/ _` |
%  \__,_\__,_|\__\__,_|
%
%  Compressible turbulent channel data
%    by
%    Andrew Trettel and Johan Larsson
%    University of Maryland, College Park
%
%  Point of contact:
%    Andrew Trettel
%    andrew.trettel@gmail.com
%    University of California, Los Angeles
%    Department of Mechanical and Aerospace Engineering
%
%  Literature source:
%  "Mean velocity scaling for compressible wall turbulence with heat transfer"
%  Trettel, Andrew and Larsson, Johan, Physics of Fluids, 28, 026102 (2016),
%  DOI:http://dx.doi.org/10.1063/1.4942022
%
%  Notation used:
%     X'   - Fluctuation from Reynolds decomposition
%     X''  - Fluctuation from Favre decomposition
%    <X>   - Reynolds-averaged quantity
%    <X>_f - Favre-averaged quantity
%
%
%  Processed on 2016-11-23.
%
%     paper = M3.0R600
%  casename = c3d_r24000 
%   Ma_bulk = +3.00000150e+00 
%   Re_bulk = +2.39998080e+04 
%        Pr = +7.00000000e-01 
%     gamma = +1.40000000e+00 
%         R = +7.93650000e-02 
%     omega = +7.50000000e-01 
%
%       n_x = 1728 
%       n_y = 416 
%       n_z = 896 
%
%       T_w = +1.00000000e+00 
%     rho_w = +2.42131967e+00 
%      mu_w = +4.16670000e-05 
%     tau_w = +2.52380343e-03 
%       u_e = +1.14125977e+00 
%       T_e = +2.49121777e+00 
%     rho_e = +9.75933059e-01 
%      mu_e = +8.26230080e-05 
%
%     u_tau = +3.22850675e-02 
%      l_nu = +5.33013740e-04 
%     T_tau = -1.16216286e-01 
%
%       B_q = -1.16216286e-01 
%       q_w = -2.52358471e-03 
%
%    Re_tau = +1.87612424e+03 
%   Re_tau* = +6.00671153e+02 
%    Ma_tau = +9.68552509e-02 
%
%
%  Descriptions of columns
%  ( 1)               y: Wall-normal coordinate
%  ( 2)              y+: Wall-normal coordinate, scaled by viscous units
%  ( 3)            Y+tl: Wall-normal coordinate, transformed by the Trettel-Larsson transformation (semi-local scaling)
%  ( 4)             <u>: Reynolds-averaged streamwise velocity
%  ( 5)           <u>_f: Favre-averaged streamwise velocity
%  ( 6)              u+: Reynolds-averaged streamwise velocity, scaled by viscous units
%  ( 7)            U+vd: Reynolds-averaged streamwise velocity, transformed by the Van Driest transformation
%  ( 8)            U+vs: Reynolds-averaged streamwise velocity, transformed by the viscous sublayer transformation
%  ( 9)            U+tl: Reynolds-averaged streamwise velocity, transformed by the Trettel-Larsson transformation
%  (10)           <rho>: Reynolds-averaged density
%  (11)             <P>: Reynolds-averaged pressure
%  (12)             <T>: Reynolds-averaged temperature
%  (13)           <T>_f: Favre-averaged temperature
%  (14)              mu: Viscosity function evaluated at the Reynolds-averaged temperature
%  (15)      <u''u''>_f: Favre-averaged streamwise velocity fluctuations squared
%  (16)      <v''v''>_f: Favre-averaged wall-normal velocity fluctuations squared
%  (17)      <w''w''>_f: Favre-averaged spanwise velocity fluctuations squared
%  (18)      <u''v''>_f: Favre-averaged Reynolds shear stress
%  (19)      <rho'rho'>: Reynolds-averaged density fluctuations squared
%  (20)          <P'P'>: Reynolds-averaged pressure fluctuations squared
%  (21)      <T''T''>_f: Favre-averaged temperature fluctuations squared
%  (22)      <T''v''>_f: 
%
%
%                y,               y+,             Y+tl,              <u>,            <u>_f,               u+,             U+vd,             U+vs,             U+tl,            <rho>,              <P>,              <T>,            <T>_f,               mu,       <u''u''>_f,       <v''v''>_f,       <w''w''>_f,       <u''v''>_f,       <rho'rho'>,           <P'P'>,       <T''T''>_f,       <T''v''>_f,
   +9.27533420e-03,  +1.74016794e+01,  +8.55241096e+00,  +3.80257381e-01,  +3.67771823e-01,  +1.17781194e+01,  +1.00768800e+01,  +1.52587964e+01,  +7.70518181e+00,  +1.38884960e+00,  +1.93792784e-01,  +1.77994104e+00,  +1.75814239e+00,  +6.42090696e-05,  +1.35771559e-02,  +1.00640480e-04,  +1.62120670e-03,  -5.15992846e-04,  +2.62929904e-02,  +4.20583211e-05,  +3.92063241e-02,  -8.53839701e-04,
   +1.03397666e-02,  +1.93986868e+01,  +9.23451719e+00,  +4.08111756e-01,  +3.95143849e-01,  +1.26408828e+01,  +1.07261236e+01,  +1.66010935e+01,  +8.16366246e+00,  +1.35355754e+00,  +1.93755357e-01,  +1.82569127e+00,  +1.80363516e+00,  +6.54429195e-05,  +1.48742526e-02,  +1.31509572e-04,  +1.80107489e-03,  -6.17532246e-04,  +2.48612277e-02,  +4.21913604e-05,  +4.06818938e-02,  -1.00631279e-03,
   +1.14219981e-02,  +2.14290875e+01,  +9.91648896e+00,  +4.34025946e-01,  +4.20736981e-01,  +1.34435508e+01,  +1.13228371e+01,  +1.78724756e+01,  +8.59069475e+00,  +1.32287509e+00,  +1.93712395e-01,  +1.86712001e+00,  +1.84505917e+00,  +6.65535666e-05,  +1.60135882e-02,  +1.66792440e-04,  +1.97721968e-03,  -7.19668777e-04,  +2.34277726e-02,  +4.23301587e-05,  +4.16261347e-02,  -1.15565360e-03,
   +1.25223064e-02,  +2.34934026e+01,  +1.06015114e+01,  +4.58109041e-01,  +4.44640733e-01,  +1.41895024e+01,  +1.18713989e+01,  +1.90729251e+01,  +8.98905200e+00,  +1.29605205e+00,  +1.93666679e-01,  +1.90466160e+00,  +1.88280013e+00,  +6.75546931e-05,  +1.69937074e-02,  +2.06464717e-04,  +2.14906099e-03,  -8.20727758e-04,  +2.20262838e-02,  +4.25521591e-05,  +4.21152339e-02,  -1.29937777e-03,
   +1.36409727e-02,  +2.55921596e+01,  +1.12919234e+01,  +4.80473920e-01,  +4.66945946e-01,  +1.48822337e+01,  +1.23758974e+01,  +2.02035628e+01,  +9.36098921e+00,  +1.27245811e+00,  +1.93615677e-01,  +1.93871079e+00,  +1.91720612e+00,  +6.84584284e-05,  +1.78175447e-02,  +2.50299553e-04,  +2.31596350e-03,  -9.19239772e-04,  +2.06785049e-02,  +4.27777555e-05,  +4.22208702e-02,  -1.43540652e-03,
   +1.47782821e-02,  +2.77258933e+01,  +1.19896646e+01,  +5.01234384e-01,  +4.87749287e-01,  +1.55252698e+01,  +1.28401362e+01,  +2.12663690e+01,  +9.70853194e+00,  +1.25161320e+00,  +1.93562414e-01,  +1.96962462e+00,  +1.94859998e+00,  +6.92755130e-05,  +1.84918251e-02,  +2.98175771e-04,  +2.47737429e-03,  -1.01423008e-03,  +1.93951566e-02,  +4.30725921e-05,  +4.20095624e-02,  -1.56253038e-03,
   +1.59345231e-02,  +2.98951451e+01,  +1.26961151e+01,  +5.20503182e-01,  +5.07144890e-01,  +1.61221029e+01,  +1.32676463e+01,  +2.22639628e+01,  +1.00334138e+01,  +1.23309394e+00,  +1.93504285e-01,  +1.99772583e+00,  +1.97727119e+00,  +7.00154791e-05,  +1.90254744e-02,  +3.49779175e-04,  +2.63276719e-03,  -1.10486932e-03,  +1.81830327e-02,  +4.33666310e-05,  +4.15403517e-02,  -1.67977301e-03,
   +1.71099882e-02,  +3.21004637e+01,  +1.34125138e+01,  +5.38390018e-01,  +5.25228728e-01,  +1.66761311e+01,  +1.36616885e+01,  +2.31993913e+01,  +1.03372882e+01,  +1.21658268e+00,  +1.93444499e-01,  +2.02330462e+00,  +2.00348725e+00,  +7.06867649e-05,  +1.94292286e-02,  +4.04914247e-04,  +2.78173924e-03,  -1.19074057e-03,  +1.70431239e-02,  +4.37156368e-05,  +4.08655037e-02,  -1.78684661e-03,
   +1.83049734e-02,  +3.43424044e+01,  +1.41396847e+01,  +5.55000361e-01,  +5.42091331e-01,  +1.71906211e+01,  +1.40252642e+01,  +2.40759741e+01,  +1.06216068e+01,  +1.20178407e+00,  +1.93380402e-01,  +2.04662189e+00,  +2.02748596e+00,  +7.12968529e-05,  +1.97146530e-02,  +4.63208483e-04,  +2.92395702e-03,  -1.27148506e-03,  +1.59760132e-02,  +4.40582521e-05,  +4.00299706e-02,  -1.88351995e-03,
   +1.95197785e-02,  +3.66215297e+01,  +1.48784658e+01,  +5.70434364e-01,  +5.57822430e-01,  +1.76686750e+01,  +1.43611235e+01,  +2.48971640e+01,  +1.08877965e+01,  +1.18848332e+00,  +1.93315324e-01,  +2.06791106e+00,  +2.04948638e+00,  +7.18523608e-05,  +1.98938393e-02,  +5.24416022e-04,  +3.05921523e-03,  -1.34706437e-03,  +1.49787593e-02,  +4.44419580e-05,  +3.90723700e-02,  -1.97008181e-03,
   +2.07547073e-02,  +3.89384095e+01,  +1.56293506e+01,  +5.84786371e-01,  +5.72504784e-01,  +1.81132151e+01,  +1.46717794e+01,  +2.56664515e+01,  +1.11371173e+01,  +1.17646784e+00,  +1.93246571e-01,  +2.08738118e+00,  +2.06968181e+00,  +7.23591527e-05,  +1.99788449e-02,  +5.88135217e-04,  +3.18738344e-03,  -1.41742073e-03,  +1.40495123e-02,  +4.48133614e-05,  +3.80251978e-02,  -2.04674184e-03,
   +2.20100669e-02,  +4.12936201e+01,  +1.63929462e+01,  +5.98144561e-01,  +5.86219042e-01,  +1.85269726e+01,  +1.49595209e+01,  +2.63872853e+01,  +1.13708227e+01,  +1.16559031e+00,  +1.93177536e-01,  +2.10521878e+00,  +2.08825025e+00,  +7.28224149e-05,  +1.99814302e-02,  +6.54094513e-04,  +3.30842588e-03,  -1.48273783e-03,  +1.31839271e-02,  +4.52130581e-05,  +3.69156320e-02,  -2.11409448e-03,
   +2.32861687e-02,  +4.36877456e+01,  +1.71695443e+01,  +6.10590914e-01,  +5.99038472e-01,  +1.89124868e+01,  +1.52264294e+01,  +2.70630208e+01,  +1.15900154e+01,  +1.15569331e+00,  +1.93105494e-01,  +2.12159057e+00,  +2.10534792e+00,  +7.32467455e-05,  +1.99128338e-02,  +7.21888776e-04,  +3.42236636e-03,  -1.54312823e-03,  +1.23793159e-02,  +4.55949160e-05,  +3.57661145e-02,  -2.17257082e-03,
   +2.45833276e-02,  +4.61213769e+01,  +1.79596195e+01,  +6.22201279e-01,  +6.11033746e-01,  +1.92721071e+01,  +1.54743940e+01,  +2.76968808e+01,  +1.17957973e+01,  +1.14667491e+00,  +1.93033851e-01,  +2.13664517e+00,  +2.12111885e+00,  +7.36362147e-05,  +1.97835578e-02,  +7.91240488e-04,  +3.52929399e-03,  -1.59888633e-03,  +1.16310552e-02,  +4.59937364e-05,  +3.45949659e-02,  -2.22288911e-03,
   +2.59018623e-02,  +4.85951118e+01,  +1.87633383e+01,  +6.33045544e-01,  +6.22268364e-01,  +1.96079982e+01,  +1.57051263e+01,  +2.82919298e+01,  +1.19891292e+01,  +1.13841556e+00,  +1.92959862e-01,  +2.15051530e+00,  +2.13568889e+00,  +7.39944344e-05,  +1.96033603e-02,  +8.61758723e-04,  +3.62935603e-03,  -1.65020862e-03,  +1.09363228e-02,  +4.63697684e-05,  +3.34171187e-02,  -2.26556653e-03,
   +2.72420956e-02,  +5.11095560e+01,  +1.95811024e+01,  +6.43187885e-01,  +6.32803144e-01,  +1.99221478e+01,  +1.59201751e+01,  +2.88510577e+01,  +1.21709725e+01,  +1.13084465e+00,  +1.92886911e-01,  +2.16331922e+00,  +2.14917428e+00,  +7.43246050e-05,  +1.93810505e-02,  +9.33173671e-04,  +3.72275101e-03,  -1.69742974e-03,  +1.02907335e-02,  +4.67528039e-05,  +3.22444902e-02,  -2.30133885e-03,
   +2.86043538e-02,  +5.36653216e+01,  +2.04130012e+01,  +6.52687022e-01,  +6.42692249e-01,  +2.02163747e+01,  +1.61209394e+01,  +2.93769695e+01,  +1.23421562e+01,  +1.12386924e+00,  +1.92812243e-01,  +2.17516251e+00,  +2.16167617e+00,  +7.46295693e-05,  +1.91246106e-02,  +1.00512145e-03,  +3.80973554e-03,  -1.74077428e-03,  +9.69161645e-03,  +4.71085663e-05,  +3.10866396e-02,  -2.33072781e-03,
   +2.99889674e-02,  +5.62630288e+01,  +2.12593993e+01,  +6.61596618e-01,  +6.51987363e-01,  +2.04923412e+01,  +1.63086833e+01,  +2.98721865e+01,  +1.25035103e+01,  +1.11744069e+00,  +1.92739189e-01,  +2.18613928e+00,  +2.17328834e+00,  +7.49118506e-05,  +1.88410130e-02,  +1.07735111e-03,  +3.89059225e-03,  -1.78056755e-03,  +9.13498761e-03,  +4.74626015e-05,  +2.99508546e-02,  -2.35441627e-03,
   +3.13962706e-02,  +5.89033044e+01,  +2.21203366e+01,  +6.69965637e-01,  +6.60734319e-01,  +2.07515638e+01,  +1.64845482e+01,  +3.03390496e+01,  +1.26557443e+01,  +1.11148503e+00,  +1.92664995e-01,  +2.19633374e+00,  +2.18409229e+00,  +7.51736964e-05,  +1.85364516e-02,  +1.14953502e-03,  +3.96563692e-03,  -1.81702307e-03,  +8.61839195e-03,  +4.77854527e-05,  +2.88427430e-02,  -2.37287686e-03,
   +3.28266015e-02,  +6.15867829e+01,  +2.29961594e+01,  +6.77838817e-01,  +6.68976876e-01,  +2.09954282e+01,  +1.66495674e+01,  +3.07797310e+01,  +1.27995722e+01,  +1.10596913e+00,  +1.92592918e-01,  +2.20582113e+00,  +2.19416400e+00,  +7.54171085e-05,  +1.82162165e-02,  +1.22144856e-03,  +4.03517289e-03,  -1.85043112e-03,  +8.13830938e-03,  +4.80992939e-05,  +2.77662765e-02,  -2.38670675e-03,
   +3.42803019e-02,  +6.43141055e+01,  +2.38868733e+01,  +6.85257032e-01,  +6.76753811e-01,  +2.12252005e+01,  +1.68046767e+01,  +3.11962433e+01,  +1.29356005e+01,  +1.10083277e+00,  +1.92520210e-01,  +2.21466893e+00,  +2.20356942e+00,  +7.56438752e-05,  +1.78849848e-02,  +1.29280622e-03,  +4.09950957e-03,  -1.88098070e-03,  +7.69256213e-03,  +4.83790627e-05,  +2.67243554e-02,  -2.39631558e-03,
   +3.57577178e-02,  +6.70859212e+01,  +2.47928180e+01,  +6.92257751e-01,  +6.84102309e-01,  +2.14420413e+01,  +1.69507274e+01,  +3.15904552e+01,  +1.30644454e+01,  +1.09605389e+00,  +1.92450038e-01,  +2.22293762e+00,  +2.21237038e+00,  +7.58555948e-05,  +1.75466838e-02,  +1.36341611e-03,  +4.15891508e-03,  -1.90892232e-03,  +7.27807989e-03,  +4.86443731e-05,  +2.57186925e-02,  -2.40221539e-03,
   +3.72591988e-02,  +6.99028861e+01,  +2.57139739e+01,  +6.98875372e-01,  +6.91055464e-01,  +2.16470160e+01,  +1.70884948e+01,  +3.19641029e+01,  +1.31866293e+01,  +1.09158243e+00,  +1.92379666e-01,  +2.23068155e+00,  +2.22062057e+00,  +7.60536995e-05,  +1.72047297e-02,  +1.43303930e-03,  +4.21365186e-03,  -1.93442015e-03,  +6.89290255e-03,  +4.88740921e-05,  +2.47502457e-02,  -2.40475794e-03,
   +3.87850986e-02,  +7.27656637e+01,  +2.66506807e+01,  +7.05141609e-01,  +6.97645213e-01,  +2.18411068e+01,  +1.72186888e+01,  +3.23188047e+01,  +1.33026884e+01,  +1.08740432e+00,  +1.92312162e-01,  +2.23794956e+00,  +2.22837054e+00,  +7.62394729e-05,  +1.68618680e-02,  +1.50151902e-03,  +4.26394665e-03,  -1.95769025e-03,  +6.53435030e-03,  +4.90858073e-05,  +2.38191395e-02,  -2.40437928e-03,
   +4.03357746e-02,  +7.56749246e+01,  +2.76029019e+01,  +7.11085692e-01,  +7.03900049e-01,  +2.20252193e+01,  +1.73419596e+01,  +3.26560670e+01,  +1.34130768e+01,  +1.08347720e+00,  +1.92244813e-01,  +2.24478556e+00,  +2.23566408e+00,  +7.64140664e-05,  +1.65204201e-02,  +1.56866070e-03,  +4.31004366e-03,  -1.97887906e-03,  +6.20070212e-03,  +4.92616931e-05,  +2.29251388e-02,  -2.40137998e-03,
   +4.19115882e-02,  +7.86313467e+01,  +2.85709860e+01,  +7.16734596e-01,  +7.09847443e-01,  +2.22001889e+01,  +1.74589032e+01,  +3.29772929e+01,  +1.35182626e+01,  +1.07979306e+00,  +1.92180584e-01,  +2.25122897e+00,  +2.24254238e+00,  +7.65785112e-05,  +1.61822011e-02,  +1.63433843e-03,  +4.35216458e-03,  -1.99817748e-03,  +5.88969438e-03,  +4.94175023e-05,  +2.20675931e-02,  -2.39612928e-03,
   +4.35129046e-02,  +8.16356152e+01,  +2.95548915e+01,  +7.22113116e-01,  +7.15511742e-01,  +2.23667835e+01,  +1.75700649e+01,  +3.32837825e+01,  +1.36186387e+01,  +1.07631569e+00,  +1.92116798e-01,  +2.25731506e+00,  +2.24904079e+00,  +7.67337289e-05,  +1.58488062e-02,  +1.69839504e-03,  +4.39054517e-03,  -2.01571892e-03,  +5.59990335e-03,  +4.95380032e-05,  +2.12458366e-02,  -2.38888050e-03,
   +4.51400928e-02,  +8.46884224e+01,  +3.05549863e+01,  +7.27244039e-01,  +7.20916288e-01,  +2.25257091e+01,  +1.76759432e+01,  +3.35767390e+01,  +1.37146108e+01,  +1.07304180e+00,  +1.92056323e-01,  +2.26307539e+00,  +2.25519250e+00,  +7.68805421e-05,  +1.55215212e-02,  +1.76072985e-03,  +4.42539614e-03,  -2.03167014e-03,  +5.32948425e-03,  +4.96372418e-05,  +2.04590146e-02,  -2.37993375e-03,
   +4.67935258e-02,  +8.77904682e+01,  +3.15712308e+01,  +7.32148256e-01,  +7.26081696e-01,  +2.26776127e+01,  +1.77769932e+01,  +3.38572727e+01,  +1.38065149e+01,  +1.06994008e+00,  +1.91996524e-01,  +2.26853821e+00,  +2.26102593e+00,  +7.70196866e-05,  +1.52014864e-02,  +1.82121840e-03,  +4.45695336e-03,  -2.04614448e-03,  +5.07724480e-03,  +4.97019958e-05,  +1.97062415e-02,  -2.36947952e-03,
   +4.84735804e-02,  +9.09424593e+01,  +3.26040104e+01,  +7.36844989e-01,  +7.31027841e-01,  +2.28230896e+01,  +1.78736317e+01,  +3.41264113e+01,  +1.38947007e+01,  +1.06701055e+00,  +1.91940169e-01,  +2.27372898e+00,  +2.26656812e+00,  +7.71518237e-05,  +1.48895329e-02,  +1.87978479e-03,  +4.48543841e-03,  -2.05927477e-03,  +4.84159399e-03,  +4.97447438e-05,  +1.89863540e-02,  -2.35773884e-03,
