%    ___                              _ _    _     
%   / __|___ _ __  _ __ _ _ ___ _____(_) |__| |___ 
%  | (__/ _ \ '  \| '_ \ '_/ -_|_-<_-< | '_ \ / -_)
%   \___\___/_|_|_| .__/_| \___/__/__/_|_.__/_\___|
%                 |_|                              
%   _            _         _         _        _                       _ 
%  | |_ _  _ _ _| |__ _  _| |___ _ _| |_   __| |_  __ _ _ _  _ _  ___| |
%  |  _| || | '_| '_ \ || | / -_) ' \  _| / _| ' \/ _` | ' \| ' \/ -_) |
%   \__|\_,_|_| |_.__/\_,_|_\___|_||_\__| \__|_||_\__,_|_||_|_||_\___|_|
%                                                                       
%      _      _        
%   __| |__ _| |_ __ _ 
%  / _` / _` |  _/ _` |
%  \__,_\__,_|\__\__,_|
%
%  Compressible turbulent channel data
%    by
%    Andrew Trettel and Johan Larsson
%    University of Maryland, College Park
%
%  Point of contact:
%    Andrew Trettel
%    andrew.trettel@gmail.com
%    University of California, Los Angeles
%    Department of Mechanical and Aerospace Engineering
%
%  Literature source:
%  "Mean velocity scaling for compressible wall turbulence with heat transfer"
%  Trettel, Andrew and Larsson, Johan, Physics of Fluids, 28, 026102 (2016),
%  DOI:http://dx.doi.org/10.1063/1.4942022
%
%  Notation used:
%     X'   - Fluctuation from Reynolds decomposition
%     X''  - Fluctuation from Favre decomposition
%    <X>   - Reynolds-averaged quantity
%    <X>_f - Favre-averaged quantity
%
%
%  Processed on 2016-11-23.
%
%     paper = M4.0R200
%  casename = c4e 
%   Ma_bulk = +4.00192138e+00 
%   Re_bulk = +1.00000000e+04 
%        Pr = +7.00000000e-01 
%     gamma = +1.40000000e+00 
%         R = +4.46000000e-02 
%     omega = +7.50000000e-01 
%
%       n_x = 1260 
%       n_y = 384 
%       n_z = 644 
%
%       T_w = +1.00000000e+00 
%     rho_w = +3.44921321e+00 
%      mu_w = +1.00000000e-04 
%     tau_w = +3.00136051e-03 
%       u_e = +1.13728265e+00 
%       T_e = +3.63740111e+00 
%     rho_e = +9.50891957e-01 
%      mu_e = +2.63386430e-04 
%
%     u_tau = +2.94984408e-02 
%      l_nu = +9.82835642e-04 
%     T_tau = -1.88954747e-01 
%
%       B_q = -1.88954747e-01 
%       q_w = -3.00109548e-03 
%
%    Re_tau = +1.01746412e+03 
%   Re_tau* = +2.02829571e+02 
%    Ma_tau = +1.18050441e-01 
%
%
%  Descriptions of columns
%  ( 1)               y: Wall-normal coordinate
%  ( 2)              y+: Wall-normal coordinate, scaled by viscous units
%  ( 3)            Y+tl: Wall-normal coordinate, transformed by the Trettel-Larsson transformation (semi-local scaling)
%  ( 4)             <u>: Reynolds-averaged streamwise velocity
%  ( 5)           <u>_f: Favre-averaged streamwise velocity
%  ( 6)              u+: Reynolds-averaged streamwise velocity, scaled by viscous units
%  ( 7)            U+vd: Reynolds-averaged streamwise velocity, transformed by the Van Driest transformation
%  ( 8)            U+vs: Reynolds-averaged streamwise velocity, transformed by the viscous sublayer transformation
%  ( 9)            U+tl: Reynolds-averaged streamwise velocity, transformed by the Trettel-Larsson transformation
%  (10)           <rho>: Reynolds-averaged density
%  (11)             <P>: Reynolds-averaged pressure
%  (12)             <T>: Reynolds-averaged temperature
%  (13)           <T>_f: Favre-averaged temperature
%  (14)              mu: Viscosity function evaluated at the Reynolds-averaged temperature
%  (15)      <u''u''>_f: Favre-averaged streamwise velocity fluctuations squared
%  (16)      <v''v''>_f: Favre-averaged wall-normal velocity fluctuations squared
%  (17)      <w''w''>_f: Favre-averaged spanwise velocity fluctuations squared
%  (18)      <u''v''>_f: Favre-averaged Reynolds shear stress
%  (19)      <rho'rho'>: Reynolds-averaged density fluctuations squared
%  (20)          <P'P'>: Reynolds-averaged pressure fluctuations squared
%  (21)      <T''T''>_f: Favre-averaged temperature fluctuations squared
%  (22)      <T''v''>_f: 
%
%
%                y,               y+,             Y+tl,              <u>,            <u>_f,               u+,             U+vd,             U+vs,             U+tl,            <rho>,              <P>,              <T>,            <T>_f,               mu,       <u''u''>_f,       <v''v''>_f,       <w''w''>_f,       <u''v''>_f,       <rho'rho'>,           <P'P'>,       <T''T''>_f,       <T''v''>_f,
   +1.79863172e-02,  +1.83004324e+01,  +6.65845350e+00,  +3.42044038e-01,  +3.27986051e-01,  +1.15953260e+01,  +9.23489448e+00,  +1.70109098e+01,  +6.32578964e+00,  +1.56365860e+00,  +1.55321607e-01,  +2.27195049e+00,  +2.22718632e+00,  +1.85054192e-04,  +1.04641267e-02,  +2.94709121e-05,  +7.64099588e-04,  -2.36554062e-04,  +5.31629625e-02,  +3.40014575e-05,  +1.02357182e-01,  -6.73139839e-04,
   +2.00094566e-02,  +2.03589041e+01,  +7.09406898e+00,  +3.68791210e-01,  +3.53909346e-01,  +1.25020577e+01,  +9.84014780e+00,  +1.87108382e+01,  +6.68552988e+00,  +1.51031029e+00,  +1.55310293e-01,  +2.35166973e+00,  +2.30568757e+00,  +1.89903102e-04,  +1.18076595e-02,  +3.80610217e-05,  +8.57471097e-04,  -2.93948752e-04,  +4.96221798e-02,  +3.36023216e-05,  +1.08737088e-01,  -8.19630847e-04,
   +2.20583575e-02,  +2.24435873e+01,  +7.52217483e+00,  +3.94397409e-01,  +3.78821287e-01,  +1.33701104e+01,  +1.04100888e+01,  +2.03786604e+01,  +7.02803012e+00,  +1.46371339e+00,  +1.55296154e-01,  +2.42561952e+00,  +2.37887077e+00,  +1.94364458e-04,  +1.31162750e-02,  +4.81084763e-05,  +9.51013866e-04,  -3.56082783e-04,  +4.63025861e-02,  +3.32065515e-05,  +1.13957131e-01,  -9.73485361e-04,
   +2.41332928e-02,  +2.45547595e+01,  +7.94558590e+00,  +4.18915942e-01,  +4.02768511e-01,  +1.42012910e+01,  +1.09477281e+01,  +2.20112732e+01,  +7.35546257e+00,  +1.42273046e+00,  +1.55282149e-01,  +2.49429742e+00,  +2.44717429e+00,  +1.98477395e-04,  +1.43786010e-02,  +5.97085891e-05,  +1.04468143e-03,  -4.22289231e-04,  +4.32104682e-02,  +3.28922402e-05,  +1.18087864e-01,  -1.13251323e-03,
   +2.62345372e-02,  +2.66927003e+01,  +8.36639474e+00,  +4.42393169e-01,  +4.25786659e-01,  +1.49971713e+01,  +1.14555973e+01,  +2.36060292e+01,  +7.66935689e+00,  +1.38642920e+00,  +1.55265140e-01,  +2.55813886e+00,  +2.51097320e+00,  +2.02275362e-04,  +1.55845554e-02,  +7.29177881e-05,  +1.13842742e-03,  -4.91806222e-04,  +4.03383681e-02,  +3.25857075e-05,  +1.21206535e-01,  -1.29445692e-03,
   +2.83623664e-02,  +2.88576901e+01,  +8.78640361e+00,  +4.64870661e-01,  +4.47910432e-01,  +1.57591604e+01,  +1.19358667e+01,  +2.51607260e+01,  +7.97096866e+00,  +1.35411807e+00,  +1.55248201e-01,  +2.61752991e+00,  +2.57060707e+00,  +2.05787345e-04,  +1.67264411e-02,  +8.78117392e-05,  +1.23217212e-03,  -5.63946839e-04,  +3.76765515e-02,  +3.23528745e-05,  +1.23398364e-01,  -1.45739238e-03,
   +3.05170576e-02,  +3.10500111e+01,  +9.20692207e+00,  +4.86386851e-01,  +4.69168102e-01,  +1.64885613e+01,  +1.23904322e+01,  +2.66735988e+01,  +8.26115926e+00,  +1.32519321e+00,  +1.55228122e-01,  +2.67281709e+00,  +2.62637488e+00,  +2.09038786e-04,  +1.77977066e-02,  +1.04425697e-04,  +1.32582084e-03,  -6.37976010e-04,  +3.52097362e-02,  +3.21290714e-05,  +1.24748900e-01,  -1.61942535e-03,
   +3.26988893e-02,  +3.32699466e+01,  +9.62917171e+00,  +5.06977993e-01,  +4.89589197e-01,  +1.71866031e+01,  +1.28209750e+01,  +2.81432943e+01,  +8.54070719e+00,  +1.29920990e+00,  +1.55208069e-01,  +2.72431383e+00,  +2.67855379e+00,  +2.12052215e-04,  +1.87938013e-02,  +1.22815485e-04,  +1.41925310e-03,  -7.13255024e-04,  +3.29252773e-02,  +3.19710299e-05,  +1.25345109e-01,  -1.77901273e-03,
   +3.49081410e-02,  +3.55177809e+01,  +1.00539888e+01,  +5.26678957e-01,  +5.09199202e-01,  +1.78544677e+01,  +1.32290072e+01,  +2.95688511e+01,  +8.81012249e+00,  +1.27575373e+00,  +1.55184788e-01,  +2.77230583e+00,  +2.72739226e+00,  +2.14847759e-04,  +1.97111711e-02,  +1.42994724e-04,  +1.51233154e-03,  -7.89131013e-04,  +3.08075094e-02,  +3.18217180e-05,  +1.25270855e-01,  -1.93468955e-03,
   +3.71450936e-02,  +3.77937999e+01,  +1.04822402e+01,  +5.45523594e-01,  +5.28025625e-01,  +1.84933027e+01,  +1.36159032e+01,  +3.09496651e+01,  +9.06993380e+00,  +1.25452693e+00,  +1.55161512e-01,  +2.81705453e+00,  +2.77312373e+00,  +2.17443498e-04,  +2.05478667e-02,  +1.64998611e-04,  +1.60490690e-03,  -8.65056475e-04,  +2.88446898e-02,  +3.17306996e-05,  +1.24607530e-01,  -2.08532375e-03,
   +3.94100289e-02,  +4.00982903e+01,  +1.09144590e+01,  +5.63545084e-01,  +5.46093147e-01,  +1.91042329e+01,  +1.39829251e+01,  +3.22854618e+01,  +9.32046923e+00,  +1.23523184e+00,  +1.55134974e-01,  +2.85880031e+00,  +2.81595961e+00,  +2.19855765e-04,  +2.13027777e-02,  +1.88818774e-04,  +1.69681656e-03,  -9.40492464e-04,  +2.70228900e-02,  +3.16474013e-05,  +1.23431841e-01,  -2.22987806e-03,
   +4.17032299e-02,  +4.24315401e+01,  +1.13512859e+01,  +5.80775996e-01,  +5.63428518e-01,  +1.96883625e+01,  +1.43312391e+01,  +3.35762572e+01,  +9.56212967e+00,  +1.21766329e+00,  +1.55108449e-01,  +2.89776452e+00,  +2.85609990e+00,  +2.22099365e-04,  +2.19760193e-02,  +2.14468741e-04,  +1.78789875e-03,  -1.01500520e-03,  +2.53321777e-02,  +3.16155865e-05,  +1.21815925e-01,  -2.36761095e-03,
   +4.40249807e-02,  +4.47938382e+01,  +1.17930521e+01,  +5.97248398e-01,  +5.80056226e-01,  +2.02467785e+01,  +1.46619298e+01,  +3.48223266e+01,  +9.79515332e+00,  +1.20159951e+00,  +1.55078681e-01,  +2.93415157e+00,  +2.89372661e+00,  +2.24187765e-04,  +2.25683885e-02,  +2.41918121e-04,  +1.87798302e-03,  -1.08818199e-03,  +2.37607408e-02,  +3.15901652e-05,  +1.19826731e-01,  -2.49787228e-03,
   +4.63755662e-02,  +4.71854746e+01,  +1.22402504e+01,  +6.12993772e-01,  +5.96002543e-01,  +2.07805482e+01,  +1.49760089e+01,  +3.60241651e+01,  +1.00198782e+01,  +1.18689636e+00,  +1.55048964e-01,  +2.96815018e+00,  +2.92901246e+00,  +2.26133239e-04,  +2.30815613e-02,  +2.71158135e-04,  +1.96690763e-03,  -1.15970764e-03,  +2.23004289e-02,  +3.16100545e-05,  +1.17525641e-01,  -2.62026132e-03,
   +4.87552723e-02,  +4.96067402e+01,  +1.26930735e+01,  +6.28043012e-01,  +6.11291707e-01,  +2.12907189e+01,  +1.52744238e+01,  +3.71824573e+01,  +1.02365010e+01,  +1.17338357e+00,  +1.55016079e-01,  +2.99993494e+00,  +2.96211498e+00,  +2.27946997e-04,  +2.35177419e-02,  +3.02137140e-04,  +2.05450527e-03,  -1.22929169e-03,  +2.09413590e-02,  +3.16348638e-05,  +1.14968911e-01,  -2.73445294e-03,
   +5.11643857e-02,  +5.20579266e+01,  +1.31519165e+01,  +6.42426306e-01,  +6.25949354e-01,  +2.17783140e+01,  +1.55580622e+01,  +3.82980413e+01,  +1.04453296e+01,  +1.16095869e+00,  +1.54983314e-01,  +3.02966721e+00,  +2.99318379e+00,  +2.29639285e-04,  +2.38797071e-02,  +3.34824434e-04,  +2.14061949e-03,  -1.29672784e-03,  +1.96768778e-02,  +3.16993743e-05,  +1.12206944e-01,  -2.84032126e-03,
   +5.36031940e-02,  +5.45393265e+01,  +1.36168756e+01,  +6.56173095e-01,  +6.39999177e-01,  +2.22443314e+01,  +1.58277577e+01,  +3.93718825e+01,  +1.06465436e+01,  +1.14948766e+00,  +1.54947504e-01,  +3.05749626e+00,  +3.02235539e+00,  +2.31219489e-04,  +2.41706222e-02,  +3.69149043e-04,  +2.22508963e-03,  -1.36183161e-03,  +1.84987209e-02,  +3.17672724e-05,  +1.09285434e-01,  -2.93779350e-03,
   +5.60719854e-02,  +5.70512332e+01,  +1.40882809e+01,  +6.69311977e-01,  +6.53465897e-01,  +2.26897408e+01,  +1.60842934e+01,  +4.04050445e+01,  +1.08404353e+01,  +1.13889726e+00,  +1.54911913e-01,  +3.08356007e+00,  +3.04975947e+00,  +2.32696198e-04,  +2.43939702e-02,  +4.05060179e-04,  +2.30776398e-03,  -1.42448650e-03,  +1.74014325e-02,  +3.18697627e-05,  +1.06244436e-01,  -3.02694689e-03,
   +5.85710490e-02,  +5.95939407e+01,  +1.45661608e+01,  +6.81870676e-01,  +6.66372352e-01,  +2.31154820e+01,  +1.63284053e+01,  +4.13986679e+01,  +1.10271783e+01,  +1.12907970e+00,  +1.54873443e-01,  +3.10798626e+00,  +3.07551425e+00,  +2.34077293e-04,  +2.45535059e-02,  +4.42470862e-04,  +2.38848718e-03,  -1.48459239e-03,  +1.63780623e-02,  +3.19741050e-05,  +1.03119919e-01,  -3.10788875e-03,
   +6.11006742e-02,  +6.21677436e+01,  +1.50508022e+01,  +6.93875979e-01,  +6.78742110e-01,  +2.35224629e+01,  +1.65607853e+01,  +4.23539483e+01,  +1.12070555e+01,  +1.11998273e+00,  +1.54835312e-01,  +3.13089272e+00,  +3.09973210e+00,  +2.35369995e-04,  +2.46531033e-02,  +4.81313674e-04,  +2.46710906e-03,  -1.54210135e-03,  +1.54240866e-02,  +3.21083830e-05,  +9.99427144e-02,  -3.18083300e-03,
   +6.36611513e-02,  +6.47729372e+01,  +1.55421854e+01,  +7.05353720e-01,  +6.90596923e-01,  +2.39115594e+01,  +1.67820846e+01,  +4.32721206e+01,  +1.13802382e+01,  +1.11151804e+00,  +1.54794500e-01,  +3.15238844e+00,  +3.12251530e+00,  +2.36580934e-04,  +2.46968146e-02,  +5.21490214e-04,  +2.54347749e-03,  -1.59697676e-03,  +1.45336055e-02,  +3.22430075e-05,  +9.67402376e-02,  -3.24600455e-03,
   +6.62527707e-02,  +6.74098169e+01,  +1.60405691e+01,  +7.16328749e-01,  +7.01959053e-01,  +2.42836140e+01,  +1.69929155e+01,  +4.41544427e+01,  +1.15470015e+01,  +1.10364862e+00,  +1.54754163e-01,  +3.17257412e+00,  +3.14396117e+00,  +2.37716193e-04,  +2.46886527e-02,  +5.62920934e-04,  +2.61744361e-03,  -1.64922050e-03,  +1.37028073e-02,  +3.24033226e-05,  +9.35353485e-02,  -3.30369925e-03,
   +6.88758235e-02,  +7.00786791e+01,  +1.65458983e+01,  +7.26824941e-01,  +7.12849043e-01,  +2.46394359e+01,  +1.71938541e+01,  +4.50021841e+01,  +1.17075151e+01,  +1.09630093e+00,  +1.54711365e-01,  +3.19154281e+00,  +3.16415823e+00,  +2.38781363e-04,  +2.46327192e-02,  +6.05500784e-04,  +2.68886233e-03,  -1.69884193e-03,  +1.29266249e-02,  +3.25625299e-05,  +9.03480696e-02,  -3.35421043e-03,
   +7.15306010e-02,  +7.27798199e+01,  +1.70584131e+01,  +7.36865186e-01,  +7.23287799e-01,  +2.49798011e+01,  +1.73854428e+01,  +4.58166151e+01,  +1.18620453e+01,  +1.08944919e+00,  +1.54669183e-01,  +3.20938053e+00,  +3.18319084e+00,  +2.39781581e-04,  +2.45329411e-02,  +6.49142190e-04,  +2.75759462e-03,  -1.74587712e-03,  +1.22018015e-02,  +3.27435554e-05,  +8.71944866e-02,  -3.39787538e-03,
   +7.42173949e-02,  +7.55135363e+01,  +1.75780328e+01,  +7.46471405e-01,  +7.33294601e-01,  +2.53054529e+01,  +1.75681922e+01,  +4.65989986e+01,  +1.20107593e+01,  +1.08303122e+00,  +1.54624773e-01,  +3.22616678e+00,  +3.20113560e+00,  +2.40721570e-04,  +2.43932595e-02,  +6.93736996e-04,  +2.82351573e-03,  -1.79036684e-03,  +1.15239737e-02,  +3.29220697e-05,  +8.40884912e-02,  -3.43502205e-03,
   +7.69364969e-02,  +7.82801250e+01,  +1.81049853e+01,  +7.55664570e-01,  +7.42888958e-01,  +2.56171021e+01,  +1.77425830e+01,  +4.73505830e+01,  +1.21539137e+01,  +1.07702962e+00,  +1.54581122e-01,  +3.24197509e+00,  +3.21806561e+00,  +2.41605678e-04,  +2.42173593e-02,  +7.39192269e-04,  +2.88651351e-03,  -1.83236862e-03,  +1.08903729e-02,  +3.31188411e-05,  +8.10408060e-02,  -3.46600354e-03,
   +7.96881989e-02,  +8.10798831e+01,  +1.86391713e+01,  +7.64464712e-01,  +7.52088830e-01,  +2.59154278e+01,  +1.79090679e+01,  +4.80725962e+01,  +1.22916718e+01,  +1.07139118e+00,  +1.54535482e-01,  +3.25687343e+00,  +3.23404712e+00,  +2.42437908e-04,  +2.40089096e-02,  +7.85398758e-04,  +2.94650195e-03,  -1.87194279e-03,  +1.02972655e-02,  +3.33117060e-05,  +7.80606113e-02,  -3.49116042e-03,
   +8.24727928e-02,  +8.39131074e+01,  +1.91808115e+01,  +7.72890965e-01,  +7.60912314e-01,  +2.62010786e+01,  +1.80680736e+01,  +4.87662418e+01,  +1.24242791e+01,  +1.06610482e+00,  +1.54490746e-01,  +3.27092465e+00,  +3.24914342e+00,  +2.43221945e-04,  +2.37712882e-02,  +8.32259732e-04,  +3.00341410e-03,  -1.90915782e-03,  +9.74230446e-03,  +3.35194808e-05,  +7.51545610e-02,  -3.51084277e-03,
   +8.52905705e-02,  +8.67800951e+01,  +1.97297931e+01,  +7.80961593e-01,  +7.69376062e-01,  +2.64746736e+01,  +1.82200024e+01,  +4.94326963e+01,  +1.25518943e+01,  +1.06112448e+00,  +1.54444264e-01,  +3.28418691e+00,  +3.26341177e+00,  +2.43961187e-04,  +2.35078384e-02,  +8.79666014e-04,  +3.05721984e-03,  -1.94408356e-03,  +9.22228447e-03,  +3.37218839e-05,  +7.23281875e-02,  -3.52538512e-03,
   +8.81418236e-02,  +8.96811429e+01,  +2.02863326e+01,  +7.88694053e-01,  +7.77496842e-01,  +2.67368048e+01,  +1.83652343e+01,  +5.00731089e+01,  +1.26747516e+01,  +1.05644386e+00,  +1.54398831e-01,  +3.29671406e+00,  +3.27690706e+00,  +2.44658768e-04,  +2.32215856e-02,  +9.27518189e-04,  +3.10791471e-03,  -1.97679105e-03,  +8.73519764e-03,  +3.39359458e-05,  +6.95849863e-02,  -3.53511910e-03,
